Year,County,Total:_x,    American Indian and Alaska Native alone,    Asian alone,    Black or African American alone,    Native Hawaiian and Other Pacific Islander alone,    Some Other Race alone,    Some other race alone,    Two or More Races:,    Two or more races:,    White alone,"        Two races excluding Some Other Race, and three or more races","        Two races excluding Some other race, and three or more races",        Two races including Some Other Race,        Two races including Some other race,Total:_y,    Hispanic or Latino,    Not Hispanic or Latino
2011,Passaic County,"502,007","1,787","26,556","61,398",325,,"46,879",,"22,548","342,514",,"17,681",,"4,867","502,007","189,211","312,796"
2011,Salem County,"65,902",242,763,"10,067",17,,"1,242",,"1,288","52,283",,875,,413,"65,902","4,661","61,241"
2011,Somerset County,"324,893",446,"47,599","29,218",0,,"13,593",,"7,329","226,708",,"5,629",,"1,700","324,893","43,356","281,537"
2011,Sussex County,"148,517",12,"3,018","3,158",0,,899,,"1,885","139,545",,"1,360",,525,"148,517","9,924","138,593"
2011,Union County,"539,494",835,"24,780","115,463",610,,"82,985",,"9,118","305,703",,"6,486",,"2,632","539,494","151,332","388,162"
2011,Warren County,"108,339",133,"2,738","4,313",0,,"2,952",,"1,649","96,554",,"1,017",,632,"108,339","8,024","100,315"
2012,Atlantic County,"275,422",496,"22,059","44,567",62,,"16,439",,"8,677","183,122",,"5,172",,"3,505","275,422","48,830","226,592"
2012,Bergen County,"918,888","2,101","137,980","50,478",132,,"44,996",,"27,732","655,469",,"20,670",,"7,062","918,888","158,724","760,164"
2012,Burlington County,"451,336","1,260","21,192","70,525",153,,"12,731",,"16,281","329,194",,"13,800",,"2,481","451,336","31,889","419,447"
2012,Camden County,"513,539","1,269","27,563","102,432",0,,"40,531",,"15,248","326,496",,"10,118",,"5,130","513,539","77,346","436,193"
2012,Cape May County,"96,304",611,"1,008","3,259",0,,"1,518",,"2,493","87,415",,"2,239",,254,"96,304","6,375","89,929"
2012,Cumberland County,"157,785",925,"2,133","32,005",0,,"20,860",,"6,623","95,239",,"4,527",,"2,096","157,785","44,305","113,480"
2012,Essex County,"787,744","2,536","38,415","313,745",432,,"83,616",,"23,375","325,625",,"17,334",,"6,041","787,744","167,733","620,011"
2012,Gloucester County,"289,586",482,"8,226","29,717",130,,"6,410",,"6,451","238,170",,"4,499",,"1,952","289,586","14,990","274,596"
2012,Hudson County,"652,302","3,161","93,136","86,669",193,,"87,801",,"17,865","363,477",,"9,290",,"8,575","652,302","278,120","374,182"
2012,Hunterdon County,"127,050",102,"3,356","3,174","1,293",,695,,"2,183","116,247",,"1,796",,387,"127,050","7,247","119,803"
2012,Mercer County,"368,303",682,"35,129","73,229",0,,"17,253",,"7,356","234,654",,"6,059",,"1,297","368,303","58,567","309,736"
2012,Middlesex County,"823,041","1,304","187,914","79,153",0,,"25,356",,"16,490","512,824",,"10,583",,"5,907","823,041","157,231","665,810"
2012,Monmouth County,"629,384","1,502","31,871","48,363",58,,"13,877",,"11,442","522,271",,"10,929",,513,"629,384","63,200","566,184"
2012,Morris County,"497,999",608,"48,291","15,706",0,,"17,497",,"9,204","406,693",,"7,378",,"1,826","497,999","60,177","437,822"
2012,New Jersey!!Estimate,"8,864,590","21,574","775,176","1,207,688","2,606",,"523,067",,"222,804","6,111,675",,"166,479",,"56,325","8,864,590","1,641,399","7,223,191"
2012,Ocean County,"580,470","1,825","10,459","18,690",0,,"7,237",,"7,621","534,638",,"6,772",,849,"580,470","50,384","530,086"
2012,Passaic County,"502,885","1,654","24,590","69,539",0,,"38,162",,"22,451","346,489",,"19,754",,"2,697","502,885","192,553","310,332"
2012,Salem County,"65,774",0,718,"9,411",0,,"3,646",,905,"51,094",,905,,0,"65,774","4,859","60,915"
2012,Somerset County,"327,707",265,"50,289","29,335",63,,"15,980",,"5,399","226,376",,"4,277",,"1,122","327,707","44,380","283,327"
2012,Sussex County,"147,442",144,"2,652","3,361",90,,"1,742",,"2,266","137,187",,"1,557",,709,"147,442","10,036","137,406"
2012,Union County,"543,976",451,"25,460","120,120",0,,"63,531",,"11,277","323,137",,"7,492",,"3,785","543,976","156,154","387,822"
2012,Warren County,"107,653",196,"2,735","4,210",0,,"3,189",,"1,465","95,858",,"1,328",,137,"107,653","8,299","99,354"
2013,Atlantic County,"275,862",394,"22,338","41,824",0,,"12,457",,"9,350","189,499",,"7,518",,"1,832","275,862","50,086","225,776"
2013,Bergen County,"925,328","1,965","145,945","55,272",157,,"60,846",,"16,797","644,346",,"13,508",,"3,289","925,328","165,442","759,886"
2013,Burlington County,"450,838",245,"21,149","73,046",81,,"10,316",,"14,210","331,791",,"12,438",,"1,772","450,838","33,049","417,789"
2013,Camden County,"512,854",498,"28,429","103,744",0,,"40,206",,"16,617","323,360",,"12,380",,"4,237","512,854","78,893","433,961"
2013,Cape May County,"95,897",66,"1,082","4,286",262,,"1,837",,"1,640","86,724",,"1,573",,67,"95,897","6,699","89,198"
2013,Cumberland County,"157,332",964,"1,685","33,594",0,,"19,820",,"5,412","95,857",,"3,949",,"1,463","157,332","45,060","112,272"
2013,Essex County,"789,565","2,073","39,125","320,462",43,,"80,315",,"22,266","325,281",,"15,895",,"6,371","789,565","171,323","618,242"
2013,Gloucester County,"290,265",153,"8,622","29,937",0,,"6,753",,"6,455","238,345",,"5,036",,"1,419","290,265","15,787","274,478"
2013,Hudson County,"660,282","2,433","96,580","83,288",59,,"84,369",,"22,581","370,972",,"14,352",,"8,229","660,282","283,041","377,241"
2013,Hunterdon County,"126,250",16,"3,748","4,774",0,,"1,110",,"1,513","115,089",,"1,272",,241,"126,250","7,450","118,800"
2013,Mercer County,"370,414",273,"37,582","73,549",61,,"27,324",,"7,391","224,234",,"5,754",,"1,637","370,414","60,106","310,308"
2013,Middlesex County,"828,919","1,154","189,890","81,874",99,,"34,526",,"18,709","502,667",,"13,578",,"5,131","828,919","161,677","667,242"
2013,Monmouth County,"629,672",608,"34,063","47,869",156,,"18,085",,"11,361","517,530",,"9,997",,"1,364","629,672","64,803","564,869"
2013,Morris County,"499,397",201,"47,216","14,940",0,,"17,370",,"11,691","407,979",,"10,416",,"1,275","499,397","62,027","437,370"
2013,New Jersey!!Estimate,"8,899,339","16,422","801,879","1,215,836","1,633",,"577,756",,"217,338","6,068,475",,"170,810",,"46,528","8,899,339","1,684,014","7,215,325"
2013,Ocean County,"583,414",616,"11,457","17,714",0,,"10,703",,"7,283","535,641",,"6,219",,"1,064","583,414","51,320","532,094"
2013,Passaic County,"505,672","2,526","27,416","67,863",126,,"54,506",,"20,929","332,306",,"17,977",,"2,952","505,672","196,632","309,040"
2013,Salem County,"65,166",37,384,"9,367",0,,835,,"1,378","53,165",,"1,297",,81,"65,166","5,022","60,144"
2013,Somerset County,"330,585",561,"52,662","28,834",0,,"14,043",,"7,152","227,333",,"6,385",,767,"330,585","46,094","284,491"
2013,Sussex County,"145,992",41,"2,971","2,654",59,,"1,737",,"2,056","136,474",,"1,915",,141,"145,992","10,218","135,774"
2013,Union County,"548,256","1,585","26,571","116,483",530,,"78,873",,"11,231","312,983",,"8,035",,"3,196","548,256","160,808","387,448"
2013,Warren County,"107,379",13,"2,964","4,462",0,,"1,725",,"1,316","96,899",,"1,316",,0,"107,379","8,477","98,902"
2014,Atlantic County,"275,209",404,"22,964","43,439",0,,"10,983",,"11,094","186,325",,"7,217",,"3,877","275,209","50,884","224,325"
2014,Bergen County,"933,572","1,636","149,488","55,664",160,,"53,772",,"19,355","653,497",,"13,763",,"5,592","933,572","172,632","760,940"
2014,Burlington County,"449,722",436,"19,690","70,267",101,,"13,860",,"20,842","324,526",,"18,247",,"2,595","449,722","33,940","415,782"
2014,Camden County,"511,038","1,445","29,608","101,125",146,,"52,338",,"10,623","315,753",,"7,661",,"2,962","511,038","79,900","431,138"
2014,Cape May County,"95,344",0,972,"4,975",79,,"2,574",,"1,086","85,658",,829,,257,"95,344","6,926","88,418"
2014,Cumberland County,"157,389","1,040","1,931","30,635",0,,"19,645",,"6,651","97,487",,"5,416",,"1,235","157,389","46,065","111,324"
2014,Essex County,"795,723","2,240","40,041","318,649",225,,"91,010",,"16,603","326,955",,"11,095",,"5,508","795,723","176,198","619,525"
2014,Gloucester County,"290,951",39,"8,587","30,974",120,,"5,018",,"6,383","239,830",,"5,803",,580,"290,951","16,510","274,441"
2014,Hudson County,"669,115",698,"99,389","88,333",305,,"79,845",,"15,672","384,873",,"11,435",,"4,237","669,115","288,684","380,431"
2014,Hunterdon County,"126,067",198,"5,020","3,311",0,,"1,775",,978,"114,785",,811,,167,"126,067","7,779","118,288"
2014,Mercer County,"371,537",456,"37,568","76,104",0,,"12,108",,"6,987","238,314",,"5,488",,"1,499","371,537","61,562","309,975"
2014,Middlesex County,"836,297","1,430","199,268","83,079",444,,"33,589",,"15,760","502,727",,"11,135",,"4,625","836,297","166,252","670,045"
2014,Monmouth County,"629,279",335,"33,645","42,467",609,,"19,073",,"16,275","516,875",,"13,535",,"2,740","629,279","66,047","563,232"
2014,Morris County,"499,727",448,"50,733","16,594",148,,"15,762",,"7,698","408,344",,"6,282",,"1,416","499,727","64,064","435,663"
2014,New Jersey!!Estimate,"8,938,175","15,270","827,493","1,212,054","2,595",,"621,199",,"205,908","6,053,656",,"156,576",,"49,332","8,938,175","1,729,172","7,209,003"
2014,Ocean County,"586,301",165,"11,685","17,740",163,,"8,673",,"9,449","538,426",,"7,677",,"1,772","586,301","52,274","534,027"
2014,Passaic County,"508,856","3,080","27,736","62,185",51,,"101,558",,"17,881","296,365",,"12,167",,"5,714","508,856","201,465","307,391"
2014,Salem County,"64,715",96,163,"9,904",0,,"1,025",,963,"52,564",,770,,193,"64,715","5,170","59,545"
2014,Somerset County,"332,568",635,"55,125","31,241",0,,"15,758",,"6,702","223,107",,"5,701",,"1,001","332,568","47,367","285,201"
2014,Sussex County,"144,909",72,"2,735","3,043",0,,"1,562",,"2,325","135,172",,"1,948",,377,"144,909","10,550","134,359"
2014,Union County,"552,939",328,"28,099","117,466",0,,"79,855",,"11,349","315,842",,"8,428",,"2,921","552,939","165,966","386,973"
2014,Warren County,"106,917",89,"3,046","4,859",44,,"1,416",,"1,232","96,231",,"1,168",,64,"106,917","8,937","97,980"
2015,Atlantic County,"274,219",715,"21,961","40,528",176,,"13,868",,"11,542","185,429",,"7,452",,"4,090","274,219","51,414","222,805"
2015,Bergen County,"938,506","1,705","153,112","57,051",910,,"49,281",,"19,954","656,493",,"15,305",,"4,649","938,506","177,650","760,856"
2015,Burlington County,"450,226",606,"23,011","73,811",0,,"10,436",,"17,929","324,433",,"16,658",,"1,271","450,226","35,069","415,157"
2015,Camden County,"510,923",933,"29,533","95,542",184,,"41,511",,"19,907","323,313",,"14,832",,"5,075","510,923","81,752","429,171"
2015,Cape May County,"94,727",0,"1,368","4,864",0,,716,,"1,027","86,752",,705,,322,"94,727","7,151","87,576"
2015,Cumberland County,"155,854",874,"2,573","29,440",0,,"5,159",,"7,361","110,447",,"5,967",,"1,394","155,854","46,279","109,575"
2015,Essex County,"797,434","1,736","41,658","314,799",82,,"84,891",,"20,727","333,541",,"14,201",,"6,526","797,434","178,837","618,597"
2015,Gloucester County,"291,479",97,"9,557","26,939",208,,"8,009",,"10,056","236,613",,"8,568",,"1,488","291,479","17,112","274,367"
2015,Hudson County,"674,836","2,087","101,595","84,148",876,,"100,667",,"22,740","362,723",,"17,657",,"5,083","674,836","290,263","384,573"
2015,Hunterdon County,"125,488",12,"4,994","3,328",0,,"1,051",,"1,838","114,265",,"1,742",,96,"125,488","7,875","117,613"
2015,Mercer County,"371,398",200,"40,989","76,228",17,,"7,537",,"5,432","240,995",,"4,956",,476,"371,398","62,973","308,425"
