Year,County,Total:_x,    American Indian and Alaska Native alone,    Asian alone,    Black or African American alone,    Native Hawaiian and Other Pacific Islander alone,    Some Other Race alone,    Some other race alone,    Two or More Races:,    Two or more races:,    White alone,"        Two races excluding Some Other Race, and three or more races","        Two races excluding Some other race, and three or more races",        Two races including Some Other Race,        Two races including Some other race,Total:_y,    Hispanic or Latino,    Not Hispanic or Latino
2018,Somerset County,"331,164",500,"61,353","32,082",0,,"6,981",,"9,377","220,871",,"6,235",,"3,142","331,164","49,623","281,541"
2018,Sussex County,"140,799",88,"3,090","3,364",66,,999,,"2,152","131,040",,"1,823",,329,"140,799","12,168","128,631"
2018,Union County,"558,067","3,687","31,093","119,389",0,,"93,810",,"13,713","296,375",,"10,810",,"2,903","558,067","180,440","377,627"
2018,Warren County,"105,779",205,"2,525","4,847",0,,"2,872",,"3,398","91,932",,"3,246",,152,"105,779","10,277","95,502"
2019,Atlantic County,"263,670",795,"20,610","37,184",618,,"25,667",,"9,950","168,846",,"7,978",,"1,972","263,670","51,129","212,541"
2019,Bergen County,"932,202","1,467","154,409","52,489",481,,"25,827",,"29,538","667,991",,"24,029",,"5,509","932,202","195,997","736,205"
2019,Burlington County,"445,349","1,128","23,075","76,401",0,,"9,326",,"17,193","318,226",,"15,462",,"1,731","445,349","38,005","407,344"
2019,Camden County,"506,471",586,"28,838","98,594",150,,"43,588",,"14,713","320,002",,"13,100",,"1,613","506,471","89,046","417,425"
2019,Cape May County,"92,039",0,448,"4,126",0,,"1,396",,"2,268","83,801",,"2,247",,21,"92,039","7,452","84,587"
2019,Cumberland County,"149,527","1,322","1,937","30,121",36,,"10,506",,"6,875","98,730",,"5,121",,"1,754","149,527","47,569","101,958"
2019,Essex County,"798,975","1,897","44,008","318,621",120,,"57,536",,"24,477","352,316",,"20,310",,"4,167","798,975","190,013","608,962"
2019,Gloucester County,"291,636",352,"9,151","31,882",0,,"6,297",,"8,324","235,630",,"6,488",,"1,836","291,636","19,500","272,136"
2019,Hudson County,"672,391","4,495","104,983","84,657",0,,"68,762",,"29,711","379,783",,"21,078",,"8,633","672,391","286,981","385,410"
2019,Hunterdon County,"124,371",251,"5,314","3,075",0,,"1,803",,"2,186","111,742",,"1,428",,758,"124,371","8,694","115,677"
2019,Mercer County,"367,430",914,"43,674","75,137",269,,"19,759",,"8,417","219,260",,"6,366",,"2,051","367,430","67,823","299,607"
2019,Middlesex County,"825,062","1,596","201,501","83,965",608,,"53,876",,"29,587","453,929",,"21,018",,"8,569","825,062","182,108","642,954"
2019,Monmouth County,"618,795",263,"32,678","45,968",108,,"15,451",,"12,951","511,376",,"10,867",,"2,084","618,795","68,930","549,865"
2019,Morris County,"491,845",648,"53,203","18,588",163,,"8,715",,"10,612","399,916",,"9,201",,"1,411","491,845","68,147","423,698"
2019,New Jersey!!Estimate,"8,882,190","18,440","856,561","1,203,843","3,254",,"571,368",,"264,429","5,964,295",,"207,192",,"57,237","8,882,190","1,856,845","7,025,345"
2019,Ocean County,"607,186",418,"9,648","19,317",97,,"9,604",,"12,624","555,478",,"9,405",,"3,219","607,186","57,819","549,367"
2019,Passaic County,"501,826",710,"26,257","57,221",309,,"71,747",,"11,105","334,477",,"7,789",,"3,316","501,826","215,329","286,497"
2019,Salem County,"62,385",214,676,"8,155",276,,"1,491",,"2,288","49,285",,"2,189",,99,"62,385","6,089","56,296"
2019,Somerset County,"328,934",539,"60,895","32,756",19,,"26,839",,"7,173","200,713",,"6,075",,"1,098","328,934","50,061","278,873"
2019,Sussex County,"140,488",0,"2,474","3,431",0,,869,,"3,046","130,668",,"2,667",,379,"140,488","12,904","127,584"
2019,Union County,"556,341",793,"30,348","117,093",0,,"110,679",,"17,923","279,505",,"12,442",,"5,481","556,341","182,552","373,789"
2019,Warren County,"105,267",52,"2,434","5,062",0,,"1,630",,"3,468","92,621",,"1,932",,"1,536","105,267","10,697","94,570"
2021,Atlantic County,"274,966","1,149","21,257","38,824",284,,"26,219",,"32,964","154,269",,"11,268",,"21,696","274,966","54,734","220,232"
2021,Bergen County,"953,819","3,936","162,246","54,547",459,,"74,385",,"124,697","533,549",,"27,435",,"97,262","953,819","210,287","743,532"
2021,Burlington County,"464,269",518,"25,592","79,617",0,,"16,318",,"40,164","302,060",,"17,769",,"22,395","464,269","42,839","421,430"
2021,Camden County,"523,771","2,227","31,583","97,006",343,,"61,107",,"43,969","287,536",,"18,323",,"25,646","523,771","96,875","426,896"
2021,Cape May County,"95,661",60,"1,061","3,919",0,,"3,214",,"6,115","81,292",,"2,381",,"3,734","95,661","8,047","87,614"
2021,Cumberland County,"153,627","1,189","2,299","30,491",157,,"14,521",,"33,848","71,122",,"4,907",,"28,941","153,627","50,648","102,979"
2021,Essex County,"854,917","2,871","50,518","312,569",491,,"138,312",,"97,700","252,456",,"25,012",,"72,688","854,917","207,841","647,076"
2021,Gloucester County,"304,477",541,"10,522","31,416",241,,"12,200",,"16,755","232,802",,"8,305",,"8,450","304,477","22,609","281,868"
2021,Hudson County,"702,463","2,859","111,820","81,649",0,,"108,908",,"175,953","221,274",,"24,128",,"151,825","702,463","298,689","403,774"
2021,Hunterdon County,"129,924",240,"5,244","4,381",190,,"3,455",,"9,303","107,111",,"2,373",,"6,930","129,924","10,121","119,803"
2021,Mercer County,"385,898","1,009","48,208","73,235",145,,"29,531",,"39,562","194,208",,"12,582",,"26,980","385,898","75,028","310,870"
2021,Middlesex County,"860,807","8,745","215,960","85,294",599,,"101,767",,"88,845","359,597",,"23,171",,"65,674","860,807","195,440","665,367"
2021,Monmouth County,"645,354","1,626","36,159","38,891",87,,"30,473",,"56,284","481,834",,"17,651",,"38,633","645,354","73,416","571,938"
2021,Morris County,"510,981",625,"53,569","17,672",0,,"35,422",,"52,145","351,548",,"13,790",,"38,355","510,981","73,161","437,820"
2021,New Jersey!!Estimate,"9,267,130","35,727","925,055","1,194,085","3,664",,"925,479",,"1,120,232","5,062,888",,"265,375",,"854,857","9,267,130","1,991,635","7,275,495"
2021,Ocean County,"648,998","2,895","11,998","20,438",184,,"19,469",,"45,703","548,311",,"13,313",,"32,390","648,998","63,916","585,082"
2021,Passaic County,"518,117","2,443","28,836","54,757",233,,"98,923",,"116,193","216,732",,"11,669",,"104,524","518,117","226,634","291,483"
2021,Salem County,"65,046",0,488,"10,309",0,,"2,610",,"4,807","46,832",,"1,753",,"3,054","65,046","6,861","58,185"
2021,Somerset County,"345,647",889,"68,802","33,356",43,,"26,655",,"31,176","184,726",,"10,262",,"20,914","345,647","54,630","291,017"
2021,Sussex County,"145,543",0,"2,359","3,173",0,,"4,926",,"14,095","120,990",,"4,109",,"9,986","145,543","15,226","130,317"
2021,Union County,"572,114","1,905","33,345","117,112",208,,"112,277",,"80,271","226,996",,"12,125",,"68,146","572,114","191,958","380,156"
2021,Warren County,"110,731",0,"3,189","5,429",0,,"4,787",,"9,683","87,643",,"3,049",,"6,634","110,731","12,675","98,056"
2022,Atlantic County,"275,638","1,519","22,105","36,849",0,"31,059",,"29,872",,"154,234","11,346",,"18,526",,"275,638","55,928","219,710"
2022,Bergen County,"952,997","2,500","157,076","54,685",287,"89,503",,"130,407",,"518,539","32,303",,"98,104",,"952,997","216,150","736,847"
2022,Burlington County,"466,103",294,"28,187","75,933",221,"18,254",,"43,045",,"300,169","21,627",,"21,418",,"466,103","44,629","421,474"
2022,Camden County,"524,907","2,043","31,027","96,570",569,"56,089",,"50,623",,"287,986","20,103",,"30,520",,"524,907","99,930","424,977"
2022,Cape May County,"95,634",94,"1,186","3,329",0,"3,558",,"7,300",,"80,167","2,201",,"5,099",,"95,634","8,192","87,442"
2022,Cumberland County,"151,356","1,899","2,657","25,204",0,"23,607",,"25,184",,"72,805","6,153",,"19,031",,"151,356","50,846","100,510"
2022,Essex County,"849,477","2,994","50,549","301,756",0,"128,766",,"106,964",,"258,448","24,562",,"82,402",,"849,477","208,649","640,828"
2022,Gloucester County,"306,601",682,"9,308","30,080",0,"11,529",,"24,364",,"230,638","13,872",,"10,492",,"306,601","24,233","282,368"
2022,Hudson County,"703,366","7,556","114,588","86,352",128,"132,327",,"143,088",,"219,327","24,008",,"119,080",,"703,366","298,081","405,285"
2022,Hunterdon County,"129,777",95,"6,007","3,959",0,"3,856",,"9,726",,"106,134","3,336",,"6,390",,"129,777","10,419","119,358"
2022,Mercer County,"380,688","1,481","49,059","69,866",201,"35,561",,"43,320",,"181,200","16,058",,"27,262",,"380,688","77,601","303,087"
2022,Middlesex County,"861,418","8,951","222,350","95,130",336,"106,211",,"76,405",,"352,035","22,407",,"53,998",,"861,418","199,632","661,786"
2022,Monmouth County,"644,098","4,255","35,455","36,659",0,"31,418",,"53,853",,"482,458","21,596",,"32,257",,"644,098","75,107","568,991"
2022,Morris County,"511,151","1,030","57,351","17,251",0,"28,139",,"58,790",,"348,590","14,312",,"44,478",,"511,151","76,016","435,135"
2022,New Jersey!!Estimate,"9,261,699","43,680","934,091","1,169,436","1,988","976,636",,"1,127,281",,"5,008,587","297,877",,"829,404",,"9,261,699","2,028,470","7,233,229"
2022,Ocean County,"655,735","2,298","10,204","20,590",117,"28,887",,"48,400",,"545,239","13,614",,"34,786",,"655,735","66,602","589,133"
2022,Passaic County,"513,936","1,498","29,615","51,510",0,"91,246",,"128,351",,"211,716","11,978",,"116,373",,"513,936","227,839","286,097"
2022,Salem County,"65,117",114,835,"8,861",0,"4,381",,"4,065",,"46,861","1,656",,"2,409",,"65,117","7,271","57,846"
2022,Somerset County,"346,875","2,758","68,347","31,037",0,"23,540",,"38,294",,"182,899","13,543",,"24,751",,"346,875","56,778","290,097"
2022,Sussex County,"146,084",75,"2,439","3,566",0,"5,016",,"14,702",,"120,286","3,791",,"10,911",,"146,084","16,884","129,200"
2022,Union County,"569,815","1,303","32,432","114,476",129,"120,789",,"76,902",,"223,784","13,912",,"62,990",,"569,815","193,934","375,881"
2022,Warren County,"110,926",241,"3,314","5,773",0,"2,900",,"13,626",,"85,072","5,499",,"8,127",,"110,926","13,749","97,177"
2023,Atlantic County,"275,213","2,074","21,849","38,240",0,"28,723",,"30,335",,"153,992","10,534",,"19,801",,"275,213","56,535","218,678"
2023,Bergen County,"957,736","3,531","163,417","57,256",393,"88,407",,"126,859",,"517,873","25,475",,"101,384",,"957,736","223,107","734,629"
2023,Burlington County,"469,167","1,429","27,700","79,165",93,"13,461",,"46,391",,"300,928","22,654",,"23,737",,"469,167","46,865","422,302"
2023,Camden County,"527,196","4,284","30,749","97,113",243,"53,898",,"56,771",,"284,138","26,575",,"30,196",,"527,196","102,905","424,291"
2023,Cape May County,"94,610",869,522,"1,989",0,"4,218",,"6,068",,"80,944","4,024",,"2,044",,"94,610","7,936","86,674"
2023,Cumberland County,"152,326","1,736","2,010","25,697",0,"32,512",,"20,783",,"69,588","7,488",,"13,295",,"152,326","55,012","97,314"
2023,Essex County,"851,117","8,674","54,046","307,580",252,"114,276",,"111,826",,"254,463","26,501",,"85,325",,"851,117","214,949","636,168"
2023,Gloucester County,"308,423",500,"9,169","31,646",265,"7,229",,"27,976",,"231,638","16,830",,"11,146",,"308,423","26,813","281,610"
2023,Hudson County,"705,472","10,277","117,406","82,697",241,"121,843",,"152,692",,"220,316","22,344",,"130,348",,"705,472","287,590","417,882"
2023,Hunterdon County,"130,183",39,"6,598","3,214",0,"2,966",,"12,691",,"104,675","2,658",,"10,033",,"130,183","12,483","117,700"
2023,Mercer County,"381,671","9,709","48,550","73,900",0,"42,617",,"32,480",,"174,415","10,585",,"21,895",,"381,671","89,035","292,636"
2023,Middlesex County,"863,623","14,121","223,472","93,776",0,"112,226",,"79,989",,"340,039","22,748",,"57,241",,"863,623","207,154","656,469"
2023,Monmouth County,"642,799","6,437","32,141","32,186",209,"33,348",,"60,534",,"477,944","22,305",,"38,229",,"642,799","83,525","559,274"
2023,Morris County,"514,423",540,"57,023","14,365",44,"26,105",,"66,898",,"349,448","17,058",,"49,840",,"514,423","83,764","430,659"
2023,New Jersey!!Estimate,"9,290,841","77,807","948,862","1,175,323","2,409","975,536",,"1,143,235",,"4,967,669","301,486",,"841,749",,"9,290,841","2,105,350","7,185,491"
2023,Ocean County,"659,197","3,049","13,319","15,050",0,"24,339",,"54,946",,"548,494","18,018",,"36,928",,"659,197","72,493","586,704"
2023,Passaic County,"513,395","2,505","28,838","52,876",176,"99,927",,"118,266",,"210,807","11,700",,"106,566",,"513,395","229,267","284,128"
2023,Salem County,"65,338",0,357,"8,773",173,"2,816",,"6,111",,"47,108","3,094",,"3,017",,"65,338","7,747","57,591"
2023,Somerset County,"348,842",864,"70,465","33,543",54,"32,176",,"37,745",,"173,995","9,343",,"28,402",,"348,842","62,369","286,473"
2023,Sussex County,"146,132","1,048","3,915","4,487",0,"6,342",,"11,756",,"118,584","1,787",,"9,969",,"146,132","18,589","127,543"
2023,Union County,"572,726","4,330","33,816","116,044",266,"121,873",,"73,260",,"223,137","16,704",,"56,556",,"572,726","201,988","370,738"
2023,Warren County,"111,252","1,791","3,500","5,726",0,"6,234",,"8,858",,"85,143","3,061",,"5,797",,"111,252","15,224","96,028"
